a_id,a_text,a_q_id,score,feedback
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer204,There is a gap between terminal 1 and the positive terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer205,Terminal 1 and positive terminal are not connected,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer206,Terminal 1 connected to the negative battery port,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer207,1st terminal and negative battery terminal not separated,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
BULB_C_VOLTAGE_EXPLAIN_WHY1_answer207.NEW,Terminal 1 and the positive battery terminal are in different electrical states,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj3-l1.qa193,Partition of the positive battery terminal from the terminal 1 gap,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj7-l1.qa185,Terminal 1 is not connected to the positive terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa223,Because port 1 is connected to the positive battery port,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa224,Because there is no gap at the first end,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj9-l1.qa189,The positive battery port is not connected to the port 1.,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa207,Because the terminal 1 and the right terminal are connected,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa208,Because terminal 1 is connected to the right battery terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa209,Because terminal 1 and the positive battery terminal are closed paths,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa210,Because there is a gap between terminal 1 and the positive battery terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj11-l1.qa213,The termianl1 is not connected to the positive battery port.,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa220,Because there is no separation between the positive battery terminal and the 1 terminal.,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb41-l1.qa162,Connection between Terminal 1 and the Right End,BULB_C_VOLTAGE_EXPLAIN_WHY1,incorrect,incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb42-l1.qa162,Terminal No. 1 is not connected to a valid battery terminal,BULB_C_VOLTAGE_EXPLAIN_WHY1,correct,correct
VOLTAGE_DEFINE_Q_answer244,The voltage is the voltage difference between two terminals,VOLTAGE_DEFINE_Q,correct,correct
FaultFinding-VOLTAGE_DEFINE_Q.sbjb35-l1.qa179,Difference in charges between two terminals,VOLTAGE_DEFINE_Q,incorrect,incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb36-l1.qa177,Measurement of the current generated when chemicals are mixed.,VOLTAGE_DEFINE_Q,incorrect,incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb37-l1.qa177,Discharge power,VOLTAGE_DEFINE_Q,incorrect,incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb38-l1.qa178,The electrical difference between the two ends of the battery,VOLTAGE_DEFINE_Q,incorrect,incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb39-l1.qa180,The difference between terminals.,VOLTAGE_DEFINE_Q,incorrect,incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb40-l1.qa178,Voltage is the difference in the terminal state,VOLTAGE_DEFINE_Q,incorrect,incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb41-l1.qa180,Measurement between two different terminals,VOLTAGE_DEFINE_Q,incorrect,incorrect
FaultFinding-VOLTAGE_DEFINE_Q.sbjb42-l1.qa180,Measure the difference between the leaves of the two terminals.,VOLTAGE_DEFINE_Q,correct,correct
EM_45b_EM_45b-a1,"Water evaporates, leaving salt.",EM_45b,correct,correct
EM.45b.110.1,Let it sit in the dish for a day.,EM_45b,incorrect,incorrect
EM.45b.113.1,"Let the water evaporate, leaving behind the salt.",EM_45b,correct,correct
EM.45b.114.1,"Water evaporation, leaving salt crystals.",EM_45b,correct,correct
EM.45b.261.1,I saw a pink and grey color blocking the water.,EM_45b,incorrect,incorrect
EM.45b.383.1,You must slowly put the bottle on top so that only water can flow out.,EM_45b,incorrect,incorrect
EM.45b.384.1,"Throw water and salt into the object, let the water evaporate.",EM_45b,correct,correct
EM.45b.385.1,Slowly drop it into the dish.,EM_45b,incorrect,incorrect
EM.45b.395.1,The water evaporated and there was only salt.,EM_45b,correct,correct
EM.45b.402.1,"We put water and salt in it, then let it out and let the water evaporate.",EM_45b,correct,correct
